184
Z-coords file (Bohr)
6 3.30539555352173195502e+01 3.21950750116024977387e+01 0.00000000000000000000e+00
6 3.30539555352173195502e+01 3.40848011361675631292e+01 0.00000000000000000000e+00
6 2.97809498874706335414e+01 1.32978137659518846903e+01 0.00000000000000000000e+00
6 3.46904583590906625545e+01 3.50296641984500922717e+01 0.00000000000000000000e+00
6 3.46904583590906625545e+01 3.69193903230151576622e+01 0.00000000000000000000e+00
6 3.63271501555764686486e+01 3.78642533852976868047e+01 0.00000000000000000000e+00
6 3.63271501555764686486e+01 3.97539795098627450898e+01 0.00000000000000000000e+00
6 3.14174527113439765458e+01 1.23529507036693537714e+01 0.00000000000000000000e+00
6 3.79636529794498116530e+01 4.06988425721452813377e+01 0.00000000000000000000e+00
6 3.30539555352173195502e+01 1.14080876413868228525e+01 0.00000000000000000000e+00
6 3.46904583590906625545e+01 1.04632245791042919336e+01 0.00000000000000000000e+00
6 3.63271501555764686486e+01 9.51836151682176101474e+00 0.00000000000000000000e+00
6 3.79636529794498116530e+01 8.57349845453923009586e+00 0.00000000000000000000e+00
6 3.96001558033231546574e+01 7.62863539225669828880e+00 0.00000000000000000000e+00
6 4.12366586271964976618e+01 6.68377232997416736993e+00 0.00000000000000000000e+00
6 4.28733504236822966504e+01 5.73890926769163645105e+00 0.00000000000000000000e+00
6 4.45098532475556396548e+01 4.79404620540910553217e+00 0.00000000000000000000e+00
6 4.61463560714289826592e+01 3.84918314312657461329e+00 0.00000000000000000000e+00
6 4.77828588953023256636e+01 2.90432008084404325032e+00 0.00000000000000000000e+00
6 4.94195506917881317577e+01 1.95945701856151255349e+00 0.00000000000000000000e+00
6 5.10560535156614747621e+01 1.01459395627898185666e+00 0.00000000000000000000e+00
1 8.18270309197917455890e+00 5.40631746976818572392e+00 0.00000000000000000000e+00
1 6.54638924071828753881e+00 7.52262175666859800316e+00 0.00000000000000000000e+00
1 1.07640689781350502585e+01 1.29387658022845215555e+01 0.00000000000000000000e+00
1 1.08339888447439562924e+01 5.76536543343554708230e+00 0.00000000000000000000e+00
1 1.19878556164033831521e+01 8.62319825161529074364e+00 0.00000000000000000000e+00
1 1.12346107831517496578e+01 9.92767619540255275012e+00 0.00000000000000000000e+00
1 1.24007607746208492472e+01 1.08222725427716515156e+01 0.00000000000000000000e+00
1 1.07640689781350502585e+01 1.36568617296192442723e+01 0.00000000000000000000e+00
1 1.50518575547731732200e+01 1.11813205064390146504e+01 0.00000000000000000000e+00
1 1.44299486871788129605e+01 1.57733549891321143122e+01 0.00000000000000000000e+00
1 4.90969744423248766196e+00 5.40612849715572885145e+00 0.00000000000000000000e+00
1 1.73102692462408782603e+01 1.29387658022845215555e+01 0.00000000000000000000e+00
1 1.89469610427266808017e+01 1.08222725427716515156e+01 0.00000000000000000000e+00
1 8.18270309197917455890e+00 3.51659134520312344208e+00 0.00000000000000000000e+00
1 1.83250521751323169894e+01 1.54143070254647529538e+01 0.00000000000000000000e+00
1 5.30238253291710659454e+00 7.52281072928105487563e+00 0.00000000000000000000e+00
1 2.15980578228790029982e+01 1.11813205064390146504e+01 0.00000000000000000000e+00
1 1.45692215025592570754e+01 1.68739314840788061645e+01 0.00000000000000000000e+00
1 1.38161656419200813417e+01 1.81782204552536121867e+01 0.00000000000000000000e+00
1 2.15980578228790029982e+01 1.54143070254647529538e+01 0.00000000000000000000e+00
1 1.34850856248962820416e+01 6.57794766699852395675e+00 0.00000000000000000000e+00
1 1.44299486871788129605e+01 8.93254641820658967788e+00 0.00000000000000000000e+00
1 1.01421601105406864463e+01 1.63591700877472838727e+01 0.00000000000000000000e+00
1 1.55346825795995453490e+01 1.53910633941326029372e+01 0.00000000000000000000e+00
1 1.62877384402387228590e+01 1.40865854503453409308e+01 0.00000000000000000000e+00
1 4.90969744423248766196e+00 3.51659134520312344208e+00 0.00000000000000000000e+00
1 1.89804091951314801712e+00 5.09451265921495011213e+00 0.00000000000000000000e+00
1 3.40434161340395924356e+00 5.09451265921495011213e+00 0.00000000000000000000e+00
1 2.09761489552846427387e+01 8.93254641820658967788e+00 0.00000000000000000000e+00
1 3.27300564774668689694e+00 9.41253685384611671338e+00 0.00000000000000000000e+00
1 5.77708173540785097089e+00 1.24228705702782598053e+01 0.00000000000000000000e+00
1 2.42493435756437882844e+01 1.19939027400019906366e+01 0.00000000000000000000e+00
1 1.17788519070264872113e+01 1.91937592745948784057e+01 0.00000000000000000000e+00
1 9.66235864751361894776e+00 1.26781725697070002390e+00 0.00000000000000000000e+00
1 1.08339888447439562924e+01 9.61870597403616522936e-02 0.00000000000000000000e+00
1 1.20056190419742954134e+01 1.26781725697070002390e+00 0.00000000000000000000e+00
1 2.28339387083445544135e+01 1.81782204552536121867e+01 0.00000000000000000000e+00
1 2.20808828477053786798e+01 1.68739314840788061645e+01 0.00000000000000000000e+00
1 1.77031433075379567299e+01 1.76630811136971743736e+01 0.00000000000000000000e+00
1 0.00000000000000000000e+00 6.35118053205071664280e+00 0.00000000000000000000e+00
1 2.58858463995171312888e+01 1.86079441759797070688e+01 0.00000000000000000000e+00
1 2.38564695143467098148e+01 1.93260401033144333383e+01 0.00000000000000000000e+00
1 2.75223492233904742932e+01 1.76630811136971743736e+01 0.00000000000000000000e+00
